,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
518,,,0.0,,,,,1.0,2.0,,5.0,1.0,,,2.0,3.0,2.0,,,3.0,,,,,3.0,0.0,,4.0,,,
519,,,2.0,,,1.0,3.0,,,,1.0,2.0,1.0,,,3.0,2.0,1.0,2.0,0.0,,,0.0,,,0.0,,0.0,,,
520,,,,,,,4.0,2.0,1.0,,3.0,1.0,2.0,,0.0,,,,2.0,2.0,,,1.0,,0.0,1.0,,1.0,,,
521,,,0.0,,,1.0,4.0,2.0,,,1.0,,,,3.0,3.0,2.0,0.0,0.0,,,,,,1.0,1.0,,1.0,,,
522,,,2.0,,,2.0,,,2.0,,,,2.0,,,6.0,1.0,,,,,,1.0,,,,,4.0,,,
523,,,1.0,,,,2.0,,2.0,,2.0,3.0,3.0,,1.0,,,4.0,,0.0,,,1.0,,1.0,3.0,,1.0,,,
524,,,0.0,,,5.0,,1.0,1.0,,5.0,,1.0,,3.0,2.0,1.0,,1.0,,,,0.0,,,2.0,,2.0,,,
525,,,,,,0.0,1.0,,1.0,,2.0,2.0,3.0,,,2.0,3.0,2.0,0.0,1.0,,,1.0,,0.0,1.0,,,,,
526,,,2.0,,,1.0,,0.0,1.0,,,1.0,,,2.0,,0.0,3.0,1.0,,,,2.0,,3.0,2.0,,0.0,,,
527,,,3.0,,,,1.0,,,,3.0,1.0,,,1.0,1.0,2.0,1.0,2.0,0.0,,,3.0,,0.0,1.0,,1.0,,,
528,,,1.0,,,2.0,1.0,1.0,2.0,,0.0,1.0,2.0,,2.0,0.0,2.0,,,,,,,,0.0,3.0,,2.0,,,
529,,,,,,3.0,2.0,1.0,,,3.0,0.0,2.0,,5.0,0.0,1.0,1.0,2.0,1.0,,,2.0,,0.0,,,2.0,,,
530,,,1.0,,,,1.0,2.0,5.0,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,
531,,,,,,2.0,3.0,1.0,1.0,,0.0,0.0,2.0,,,0.0,1.0,3.0,,,,,,,1.0,1.0,,,,,
532,,,1.0,,,2.0,4.0,,,,0.0,0.0,,,1.0,,0.0,0.0,0.0,1.0,,,1.0,,3.0,1.0,,2.0,,,
533,,,,,,3.0,,1.0,0.0,,2.0,0.0,2.0,,2.0,3.0,4.0,3.0,1.0,0.0,,,3.0,,1.0,1.0,,2.0,,,
534,,,1.0,,,1.0,1.0,0.0,,,3.0,3.0,1.0,,1.0,2.0,4.0,1.0,1.0,1.0,,,0.0,,,0.0,,,,,
535,,,3.0,,,2.0,0.0,,2.0,,0.0,1.0,0.0,,2.0,1.0,,,0.0,1.0,,,,,2.0,2.0,,1.0,,,
536,,,,,,,,2.0,,,2.0,,2.0,,,1.0,1.0,2.0,,3.0,,,2.0,,,,,0.0,,,
537,,,0.0,,,2.0,3.0,2.0,,,2.0,1.0,0.0,,,2.0,0.0,1.0,2.0,3.0,,,1.0,,,2.0,,,,,
538,,,0.0,,,,,1.0,1.0,,,0.0,1.0,,2.0,,,,1.0,,,,1.0,,1.0,1.0,,2.0,,,
539,,,1.0,,,0.0,2.0,1.0,0.0,,3.0,,2.0,,,,,1.0,0.0,1.0,,,0.0,,4.0,1.0,,2.0,,,
540,,,4.0,,,,3.0,,0.0,,2.0,0.0,3.0,,2.0,3.0,1.0,1.0,1.0,2.0,,,,,2.0,,,0.0,,,
541,,,1.0,,,0.0,1.0,1.0,1.0,,4.0,,5.0,,5.0,,1.0,2.0,1.0,,,,1.0,,2.0,1.0,,,,,
542,,,1.0,,,2.0,2.0,,,,,1.0,,,1.0,2.0,1.0,2.0,0.0,3.0,,,1.0,,2.0,1.0,,0.0,,,
543,,,1.0,,,,4.0,0.0,0.0,,1.0,,1.0,,,1.0,3.0,,1.0,,,1.0,2.0,,,0.0,,,2.0,,
544,,,2.0,,,6.0,3.0,,,,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,3.0,,,2.0,,2.0,,,2.0,1.0,,
